NACA 0005-60
1.00000000 0.00000000
0.99949653 0.00002969
0.99798715 0.00011859
0.99547488 0.00026619
0.99196479 0.00047165
0.98746396 0.00073383
0.98198143 0.00105126
0.97552826 0.00142221
0.96811744 0.00184468
0.95976389 0.00231642
0.95048443 0.00283500
0.94029777 0.00339777
0.92922440 0.00400196
0.91728663 0.00464463
0.90450850 0.00532277
0.89091574 0.00603325
0.87653573 0.00677288
0.86139743 0.00753844
0.84553132 0.00832663
0.82896936 0.00913415
0.81174490 0.00995763
0.79389263 0.01079369
0.77544849 0.01163893
0.75644964 0.01248988
0.73693433 0.01334303
0.71694187 0.01419483
0.69651252 0.01504162
0.67568741 0.01587972
0.65450850 0.01670530
0.63301842 0.01751449
0.61126047 0.01830330
0.58927845 0.01906765
0.56711663 0.01980336
0.54481965 0.02050620
0.52243242 0.02117184
0.50000000 0.02179594
0.47756758 0.02237412
0.45518035 0.02290203
0.43288337 0.02337538
0.41072155 0.02378996
0.38873953 0.02414171
0.36698158 0.02442674
0.34549150 0.02464142
0.32431259 0.02478238
0.30348748 0.02484661
0.28305813 0.02483145
0.26306567 0.02473468
0.24355036 0.02455451
0.22455151 0.02428967
0.20610737 0.02393935
0.18825510 0.02350330
0.17103064 0.02298179
0.15446868 0.02237559
0.13860257 0.02168601
0.12346427 0.02091482
0.10908426 0.02006425
0.09549150 0.01913692
0.08271337 0.01813583
0.07077560 0.01706425
0.05970223 0.01592570
0.04951557 0.01472384
0.04023611 0.01346245
0.03188256 0.01214527
0.02447174 0.01077603
0.01801857 0.00935829
0.01253604 0.00789542
0.00803521 0.00639051
0.00452512 0.00484633
0.00201285 0.00326527
0.00050347 0.00164932
0.00000000 0.00000000
0.00050347 -0.00164932
0.00201285 -0.00326527
0.00452512 -0.00484633
0.00803521 -0.00639051
0.01253604 -0.00789542
0.01801857 -0.00935829
0.02447174 -0.01077603
0.03188256 -0.01214527
0.04023611 -0.01346245
0.04951557 -0.01472384
0.05970223 -0.01592570
0.07077560 -0.01706425
0.08271337 -0.01813583
0.09549150 -0.01913692
0.10908426 -0.02006425
0.12346427 -0.02091482
0.13860257 -0.02168601
0.15446868 -0.02237559
0.17103064 -0.02298179
0.18825510 -0.02350330
0.20610737 -0.02393935
0.22455151 -0.02428966
0.24355036 -0.02455451
0.26306567 -0.02473468
0.28305813 -0.02483145
0.30348748 -0.02484661
0.32431259 -0.02478238
0.34549150 -0.02464142
0.36698158 -0.02442674
0.38873953 -0.02414171
0.41072155 -0.02378996
0.43288337 -0.02337538
0.45518035 -0.02290203
0.47756758 -0.02237412
0.50000000 -0.02179594
0.52243242 -0.02117184
0.54481965 -0.02050620
0.56711663 -0.01980336
0.58927845 -0.01906765
0.61126047 -0.01830330
0.63301842 -0.01751449
0.65450850 -0.01670530
0.67568741 -0.01587972
0.69651252 -0.01504162
0.71694187 -0.01419483
0.73693433 -0.01334303
0.75644964 -0.01248988
0.77544849 -0.01163893
0.79389263 -0.01079369
0.81174490 -0.00995763
0.82896936 -0.00913415
0.84553132 -0.00832663
0.86139743 -0.00753844
0.87653573 -0.00677288
0.89091574 -0.00603325
0.90450850 -0.00532277
0.91728663 -0.00464463
0.92922440 -0.00400196
0.94029777 -0.00339777
0.95048443 -0.00283500
0.95976389 -0.00231642
0.96811744 -0.00184468
0.97552826 -0.00142221
0.98198143 -0.00105126
0.98746396	-0.00073383
0.99196479	-0.00047165
0.99547488	-0.00026619
0.99798715	-0.00011859
0.99949653	-0.00002969
1.00000000	0.00000000

